"state","zcta5","stab","zipname","intptlon","intptlat","pop2k","afact"
"FIPS state","ZIP Census Tabulation Area","State Postal Code","zipname","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","state to zcta5 alloc factor"
"37","27892","NC","WILLIAMSTON",-77.078627,35.826117,15509,0.001927 
"37","27893","NC","WILSON",-77.912089,35.71606,41199,0.005118 
"37","27896","NC","WILSON",-77.948816,35.766349,13907,0.001728 
"37","27897","NC","GEORGE",-77.211197,36.333899,2194,0.000273 
"37","27909","NC","ELIZABETH CITY",-76.247565,36.29572,34897,0.004335 
"37","27910","NC","AHOSKIE",-76.986675,36.292943,11119,0.001381 
"37","27915","NC","AVON",-75.506488,35.352028,786,0.000098 
"37","27916","NC","AYDLETT",-75.905679,36.310892,441,0.000055 
"37","27917","NC","BARCO",-75.981577,36.362716,881,0.000109 
"37","27919","NC","BELVIDERE",-76.526333,36.312016,880,0.000109 
"37","27920","NC","BUXTON",-75.559044,35.260609,1613,0.0002 
"37","27921","NC","CAMDEN",-76.152784,36.326514,3140,0.00039 
"37","27922","NC","COFIELD",-76.877257,36.335765,852,0.000106 
"37","27923","NC","COINJOCK",-75.938045,36.370577,652,0.000081 
"37","27924","NC","COLERAIN",-76.84919,36.179374,3588,0.000446 
"37","27925","NC","COLUMBIA",-76.234746,35.912426,3899,0.000484 
"37","27926","NC","CORAPEAKE",-76.606186,36.525937,1651,0.000205 
"37","27927","NC","COROLLA",-75.827376,36.37579,648,0.000081 
"37","27928","NC","CRESWELL",-76.415278,35.86012,2105,0.000262 
"37","27929","NC","CURRITUCK",-75.985969,36.427207,716,0.000089 
"37","27932","NC","EDENTON",-76.623388,36.090535,12362,0.001536 
"37","27935","NC","EURE",-76.842788,36.430879,1519,0.000189 
"37","27936","NC","FRISCO",-75.613191,35.245175,401,0.00005 
"37","27937","NC","GATES",-76.767423,36.508185,3080,0.000383 
"37","27938","NC","GATESVILLE",-76.729758,36.414488,1545,0.000192 
"37","27939","NC","GRANDY",-75.875108,36.240911,1690,0.00021 
"37","27941","NC","HARBINGER",-75.819742,36.099065,87,0.000011 
"37","27942","NC","HARRELLSVILLE",-76.774374,36.283877,1140,0.000142 
"37","27943","NC","HATTERAS",-75.68676,35.217951,634,0.000079 
"37","27944","NC","DURANTS NECK",-76.416409,36.172641,10211,0.001269 
"37","27946","NC","HOBBSVILLE",-76.604987,36.361661,1256,0.000156 
"37","27947","NC","JARVISBURG",-75.85728,36.177866,604,0.000075 
"37","27948","NC","KILL DEVIL HILLS",-75.687131,36.020197,9201,0.001143 
"37","27949","NC","SOUTHERN SHORES",-75.72481,36.099534,6088,0.000756 
"37","27950","NC","KNOTTS ISLAND",-75.969098,36.521089,1825,0.000227 
"37","27953","NC","EAST LAKE",-75.79722,35.859182,1182,0.000147 
"37","27954","NC","MANTEO",-75.683567,35.913205,5168,0.000642 
"37","27956","NC","MAPLE",-76.018597,36.407996,492,0.000061 
"37","27957","NC","MERRY HILL",-76.773975,36.062515,1074,0.000133 
"37","27958","NC","MOYOCK",-76.128106,36.497274,6937,0.000862 
"37","27959","NC","NAGS HEAD",-75.630423,35.955582,2771,0.000344 
"37","27960","NC","OCRACOKE",-75.959187,35.119433,769,0.000096 
"37","27962","NC","PLYMOUTH",-76.739461,35.849526,8042,0.000999 
"37","27964","NC","POINT HARBOR",-75.804931,36.091625,618,0.000077 
"37","27965","NC","POPLAR BRANCH",-75.893143,36.257164,538,0.000067 
"37","27966","NC","POWELLS POINT",-75.838477,36.13764,1389,0.000173 
"37","27967","NC","POWELLSVILLE",-76.94642,36.229359,565,0.00007 
"37","27968","NC","RODANTHE",-75.465456,35.588512,178,0.000022 
"37","27970","NC","ROPER",-76.57136,35.909192,3579,0.000445 
"37","27972","NC","SALVO",-75.469626,35.553139,339,0.000042 
"37","27973","NC","SHAWBORO",-76.076893,36.371858,979,0.000122 
"37","27974","NC","SHILOH",-76.031812,36.255702,1187,0.000147 
"37","27976","NC","SOUTH MILLS",-76.310515,36.457941,2251,0.00028 
"37","27979","NC","SUNBURY",-76.608787,36.441546,1544,0.000192 
"37","27980","NC","TYNER",-76.6238,36.248016,2238,0.000278 
"37","27981","NC","WANCHESE",-75.640574,35.843745,1556,0.000193 
"37","27982","NC","WAVES",-75.471521,35.56179,50,6E-6 
"37","27983","NC","WINDSOR",-76.953371,36.003319,9026,0.001121 
"37","27985","NC","WINFALL",-76.470293,36.218159,124,0.000015 
"37","27986","NC","WINTON",-76.92847,36.383787,1620,0.000201 
"37","28001","NC","ALBEMARLE",-80.203499,35.349788,26236,0.003259 
"37","28006","NC","ALEXIS",-81.098275,35.406436,568,0.000071 
"37","28007","NC","ANSONVILLE",-80.110796,35.105032,695,0.000086 
"37","28009","NC","BADIN",-80.113776,35.406048,978,0.000122 
"37","28012","NC","BELMONT",-81.039951,35.236551,19024,0.002363 
"37","28016","NC","BESSEMER CITY",-81.287434,35.30746,14363,0.001784 
"37","28017","NC","GARDNER WEBB COL",-81.662782,35.252766,1654,0.000205 
"37","28018","NC","BOSTIC",-81.810714,35.422428,5432,0.000675 
"37","28019","NC","CAROLEEN",-81.79097,35.282049,617,0.000077 
"37","28020","NC","CASAR",-81.62189,35.519619,2419,0.000301 
"37","28021","NC","CHERRYVILLE",-81.3933,35.382755,12550,0.001559 
"37","28023","NC","CHINA GROVE",-80.597444,35.56729,12941,0.001608 
"37","28025","NC","CONCORD",-80.560821,35.391477,41384,0.005141 
"37","28027","NC","CONCORD",-80.642725,35.409928,32111,0.003989 
"37","28031","NC","CORNELIUS",-80.888848,35.475559,13544,0.001683 
"37","28032","NC","CRAMERTON",-81.080287,35.238297,2443,0.000304 
"37","28033","NC","CROUSE",-81.318719,35.425925,1966,0.000244 
"37","28034","NC","DALLAS",-81.182166,35.337335,14159,0.001759 
"37","28036","NC","CORNELIUS",-80.822505,35.490693,10178,0.001264 
"37","28037","NC","DENVER",-81.01018,35.505845,13030,0.001619 
"37","28038","NC","EARL",-81.54089,35.197789,104,0.000013 
"37","28040","NC","ELLENBORO",-81.762747,35.3427,6452,0.000802 
"37","28043","NC","ALEXANDER MILLS",-81.868756,35.313173,20383,0.002532 
"37","28052","NC","GASTONIA",-81.217968,35.242845,37076,0.004606 
"37","28054","NC","GASTONIA",-81.152989,35.256916,33363,0.004145 
"37","28056","NC","GASTONIA",-81.130886,35.221158,27584,0.003427 
"37","28071","NC","GOLD HILL",-80.32598,35.529318,2941,0.000365 
"37","28072","NC","GRANITE QUARRY",-80.443512,35.616081,262,0.000033 
"37","28073","NC","GROVER",-81.480873,35.19679,4572,0.000568 
"37","28075","NC","HARRISBURG",-80.657475,35.333945,14604,0.001814 
"37","28076","NC","HENRIETTA",-81.777664,35.25238,249,0.000031 
